"Time","100 * sum(irate(container_cpu_usage_seconds_total{name=~""ts-server-redis-1""}[5m])) / 12
"
2025-04-07 09:05:50,0.0700%
2025-04-07 09:05:55,0.0741%
2025-04-07 09:06:00,0.0707%
2025-04-07 09:06:05,0.0702%
2025-04-07 09:06:10,0.0696%
2025-04-07 09:06:15,0.0706%
2025-04-07 09:06:20,0.0622%
2025-04-07 09:06:25,0.0675%
2025-04-07 09:06:30,0.0691%
2025-04-07 09:06:35,0.0722%
2025-04-07 09:06:40,0.0668%
2025-04-07 09:06:45,0.0654%
2025-04-07 09:06:50,0.0673%
2025-04-07 09:06:55,0.0697%
2025-04-07 09:07:00,0.0645%
2025-04-07 09:07:05,0.0700%
2025-04-07 09:07:10,0.0680%
2025-04-07 09:07:15,0.0673%
2025-04-07 09:07:20,0.0687%
2025-04-07 09:07:25,0.0674%
2025-04-07 09:07:30,0.0653%
2025-04-07 09:07:35,0.0679%
2025-04-07 09:07:40,0.0687%
2025-04-07 09:07:45,0.0678%
2025-04-07 09:07:50,0.0677%
2025-04-07 09:07:55,0.0663%
2025-04-07 09:08:00,0.0729%
2025-04-07 09:08:05,0.0729%
2025-04-07 09:08:10,0.0745%
2025-04-07 09:08:15,0.0723%
2025-04-07 09:08:20,0.0699%
2025-04-07 09:08:25,0.0746%
2025-04-07 09:08:30,0.0740%
2025-04-07 09:08:35,0.0731%
2025-04-07 09:08:40,0.0709%
2025-04-07 09:08:45,0.0672%
2025-04-07 09:08:50,0.0717%
2025-04-07 09:08:55,0.0672%
2025-04-07 09:09:00,0.0695%
2025-04-07 09:09:05,0.0716%
2025-04-07 09:09:10,0.0658%
2025-04-07 09:09:15,0.0676%
2025-04-07 09:09:20,0.0683%
2025-04-07 09:09:25,0.0698%
2025-04-07 09:09:30,0.0665%
2025-04-07 09:09:35,0.0699%
2025-04-07 09:09:40,0.0682%
2025-04-07 09:09:45,0.0662%
2025-04-07 09:09:50,0.0680%
2025-04-07 09:09:55,0.0671%
2025-04-07 09:10:00,0.0669%
2025-04-07 09:10:05,0.0672%
2025-04-07 09:10:10,0.0684%
2025-04-07 09:10:15,0.0751%
2025-04-07 09:10:20,0.0683%
2025-04-07 09:10:25,0.0714%
2025-04-07 09:10:30,0.0671%
2025-04-07 09:10:35,0.0701%
2025-04-07 09:10:40,0.0676%
2025-04-07 09:10:45,0.0672%
2025-04-07 09:10:50,0.0668%